,index,lprice,oprice,sprice,grid,subsect,taxes,taxyr,lotsize,primsch,intsch,highsch,agent,floodp,waterf,age,stories,floor,style,firepl,basemt,pool,garage,allrms,beds,baths,lrarea,drarea,kitarea,famarea,den,study,masarea,secarea,area3,area4,area5,range,dwasher,washer,secsys,micro,rtop,disposal,dryer,freezer,compact,walloven,refrig,patio,deck,fence,fuel,ac,heat,hwater,water,sewer,unknown,amps,assvalue,cfee,golf,culdesac,unrate,greenmm,gatemm,lotsizef,own,gate,green,invgate,linvgate,invgate2,loglp,logsp,loglot,logage,logbeds,logbaths,logdra,logkita,logstor,lograte,sdate,time.months,logtime,primf,stylef,noappl,logappl,basemtf,nobase,gar12,ldate,exdate,setdate,listp,expdays,tom,expper,invexp,logiexp,tomper,rellp,reltom,longlp,shortlp,longtom,shorttom,tomrlp,tomlp,pdisc,logpdisc,lpsp
1,723702,147600,147600,145000,E20,R,2398,91,8970,3,3,1,6,NA,NA,30,2,NA,3,1,1,0,1,8,4,2.5,338,132,144,345,0,0,182,110,120,128,0,2,1,1,0,0,NA,0,1,0,0,NA,1,0,0,0,0,1,2,1,1,1,1,NA,93000,0,0,0,6.8,12,94,house,house,0.28036205,0.0357909,3.56681655,1.271673475,12.7221803,11.90226119,11.88448902,9.101640955,3.401197382,1.386294361,0.916290732,4.882801923,4.9698133,0.693147181,1.916922612,05/03/1992,0.166666667,-1.791759469,3,ostyles,-0.1,-2.302585093,partbase,FALSE,TRUE,02/09/1991,11/12/1992,20/11/1992,466,281,185,0.603004292,0.003557453,-5.638710478,0.396995708,2.588888889,71.45922747,1,0,185,0,478.9444444,86210,0.017931034,-2.137655279,1.017931034
2,745677,179000,179000,175000,E19,R,2814,91,9375,5,5,1,4,NA,NA,18,2,NA,1,1,1,0,1,10,5,2.5,240,180,180,231,81,0,204,156,81,165,156,1,1,0,0,0,NA,1,0,0,0,NA,0,0,1,1,0,1,2,1,1,1,1,NA,109100,0,0,0,6.8,NA,NA,house,house,NA,NA,NA,NA,NA,12.09514108,12.07254125,9.145801851,2.890371758,1.609437912,0.916290732,5.192956851,5.192956851,0.693147181,1.916922612,14/09/1992,6.6,1.887069649,other,colonial,-0.1,-2.302585093,partbase,FALSE,TRUE,14/04/1992,15/10/1992,30/11/1992,184,31,153,0.168478261,0.032154341,-3.437207819,0.831521739,1.022222222,149.673913,1,0,153,0,156.4,28152,0.022857143,-2.096733039,1.022857143
3,746177,169900,169900,157000,E20,R,2520,91,7920,2,2,1,1,NA,NA,26,2,3,1,1,1,0,1,8,4,2.5,312,156,169,180,0,0,225,144,132,168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,1,NA,97700,0,1,1,7.5,1,70,house,house,0.20878025,0.002982575,4.789725082,1.566473016,22.94146636,12.04296531,11.96400108,8.977146485,3.258096538,1.386294361,0.916290732,5.049856007,5.129898715,0.693147181,2.014903021,01/12/1992,9.2,2.219203484,2,colonial,-0.1,-2.302585093,partbase,FALSE,TRUE,20/04/1992,31/01/1993,15/01/1993,286,61,225,0.213286713,0.016366612,-4.112511866,0.786713287,1.588888889,141.6083916,1,0,225,0,357.5,64350,0.082165605,-1.702839088,1.082165605
4,747305,69900,81900,68000,E20,R,1669,91,0,2,1,1,6,NA,NA,7,1,NA,5,1,0,0,0,5,2,1.5,221,72,88,0,0,0,165,81,0,0,0,2,1,1,0,1,2,1,1,0,0,NA,1,0,1,0,0,2,2,2,2,1,1,NA,64700,52,0,0,7,9,16,con,con,0.0477212,0.026843175,20.95504723,3.042379535,439.1140045,11.15482093,11.12726298,#NAME?,1.945910149,0.693147181,0.405465108,4.276666119,4.477336814,0,1.945910149,05/02/1993,11.4,2.433613355,2,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,30/04/1992,15/05/1993,22/04/1993,380,99,281,0.260526316,0.010090817,-4.596129441,0.739473684,2.111111111,133.1052632,1,0,281,0,593.2222222,106780,0.027941176,-2.05618468,1.027941176
5,749516,149900,149900,142000,E20,R,2573,91,10080,2,2,1,7,NA,NA,28,2,NA,2,2,1,0,1,8,3,2.5,336,108,126,338,0,0,180,121,144,0,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,0,0,0,1,2,1,1,1,1,NA,111400,0,1,0,6.8,1,63,house,house,0.187902225,0.002982575,5.321916758,1.671833531,28.32279797,11.91772368,11.86358234,9.218308542,3.33220451,1.098612289,0.916290732,4.682131227,4.836281907,0.693147181,1.916922612,21/09/1992,6.833333333,1.921812597,2,ostyles,-0.1,-2.302585093,partbase,FALSE,TRUE,18/05/1992,18/05/1993,13/11/1992,365,239,126,0.654794521,0.00418235,-5.476881874,0.345205479,2.027777778,62.1369863,1,0,126,0,255.5,45990,0.055633803,-1.860249449,1.055633803
6,750950,159900,159900,144750,E19,R,2453,92,10295,2,2,1,2,NA,NA,25,2,2,1,1,1,0,1,9,4,2.5,286,143,234,221,0,0,168,120,132,110,0,1,1,1,0,1,2,1,1,0,0,NA,1,0,0,0,0,1,2,1,1,1,1,NA,95100,0,0,0,6.7,36,167,house,house,0.498090025,0.1073727,2.007669196,0.696974445,4.0307356,11.9823039,11.8827634,9.239413619,3.218875825,1.386294361,0.916290732,4.96284463,5.455321115,0.693147181,1.902107526,10/05/1993,14.53333333,2.676444862,2,colonial,-0.1,-2.302585093,partbase,FALSE,TRUE,04/06/1992,25/06/1993,22/06/1993,386,46,340,0.119170984,0.021691974,-3.83081295,0.880829016,2.144444444,158.5492228,1,0,340,0,729.1111111,131240,0.104663212,-1.586389517,1.104663212
7,751122,97900,97900,90200,E20,EP,1898,91,0,NA,NA,NA,6,NA,NA,3,1,NA,6,1,0,0,1,5,2,2,240,72,72,0,0,0,192,126,0,0,0,2,0,1,0,0,NA,1,1,0,0,NA,1,0,1,1,0,1,2,1,1,1,1,NA,73600,125,0,0,7,10,20,con,con,0.0596515,0.02982575,16.76403779,2.819235984,281.0329629,11.49170183,11.40978471,#NAME?,1.098612289,0.693147181,0.693147181,4.276666119,4.276666119,0,1.945910149,10/02/1993,11.56666667,2.448127398,NA,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,05/06/1992,20/05/1993,26/03/1993,349,99,250,0.283667622,0.010090817,-4.596129441,0.716332378,1.938888889,128.9398281,1,0,250,0,484.7222222,87250,0.085365854,-1.685423819,1.085365854
8,754171,159900,159900,154000,E19,R,5494,91,25200,NA,NA,NA,1,NA,NA,30,2,NA,1,1,1,1,1,8,4,2.5,299,156,210,144,0,0,210,121,121,195,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,1,1,0,1,2,1,1,1,1,NA,232500,0,0,0,6.4,NA,NA,house,house,NA,NA,NA,NA,NA,11.9823039,11.94470788,10.13459927,3.401197382,1.386294361,0.916290732,5.049856007,5.347107531,0.693147181,1.85629799,06/11/1992,8.366666667,2.124255557,NA,colonial,-0.1,-2.302585093,partbase,FALSE,TRUE,03/07/1992,06/01/1993,21/12/1992,187,61,126,0.326203209,0.016366612,-4.112511866,0.673796791,1.038888889,121.2834225,1,0,126,0,130.9,23562,0.038311688,-1.97824553,1.038311688
9,754261,154500,156900,150000,E20,R,2398,91,8820,2,1,1,5,NA,NA,30,2,NA,3,1,1,0,1,8,4,2.5,338,143,156,300,0,0,210,156,110,128,0,1,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,0,1,2,1,1,1,1,NA,93000,0,0,0,7,21,103,house,house,0.307205225,0.062634075,3.255152968,1.180239269,10.59602085,11.94794938,11.91839057,9.084777149,3.401197382,1.386294361,0.916290732,4.96284463,5.049856007,0.693147181,1.945910149,01/12/1992,9.2,2.219203484,2,ostyles,-0.1,-2.302585093,partbase,FALSE,TRUE,08/07/1992,08/05/1993,15/04/1993,304,158,146,0.519736842,0.006325111,-5.063227744,0.480263158,1.688888889,86.44736842,1,0,146,0,246.5777778,44384,0.03,-2.040220829,1.03
10,754454,103500,91999,96700,E20,CON,2017,91,0,3,3,1,3,NA,NA,3,3,NA,4,1,1,0,0,5,1,1.5,154,80,99,242,0,0,224,0,0,0,0,2,1,1,0,1,2,1,1,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,78200,68,1,0,7.3,4,15,con,con,0.044738625,0.0119303,22.35205038,3.106918057,499.6141563,11.54732689,11.47936868,#NAME?,1.098612289,0,0.405465108,4.382026635,4.59511985,1.098612289,1.987874348,13/05/1993,14.63333333,2.683302031,3,condos,-0.1,-2.302585093,partbase,FALSE,TRUE,09/07/1992,31/12/1993,09/07/1993,540,232,308,0.42962963,0.004308488,-5.447168313,0.57037037,3,102.6666667,1,0,308,0,924,166320,0.070320579,-1.770072858,1.070320579
11,754465,139900,139900,137900,E20,EP,2708,91,0,3,3,1,3,NA,NA,3,2,NA,4,1,0,0,1,6,2,2.5,270,88,88,0,156,0,198,132,0,0,0,2,1,1,0,1,2,1,1,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,105000,135,1,0,7.2,7,22,con,con,0.06561665,0.020878025,15.24003435,2.723925804,232.258647,11.84868316,11.83428406,#NAME?,1.098612289,0.693147181,0.916290732,4.477336814,4.477336814,0.693147181,1.974081026,24/06/1993,16.03333333,2.774669888,3,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,09/07/1992,09/07/1994,27/08/1993,730,380,350,0.520547945,0.002630887,-5.940434376,0.479452055,4.055555556,86.30136986,1,0,350,0,1419.444444,255500,0.014503263,-2.167151957,1.014503263
12,756033,59900,69900,57900,E20,RTR,1417,91,0,2,1,1,3,NA,NA,11,1,1,5,1,0,0,0,4,1,1,221,72,96,0,0,0,144,0,0,0,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,1,1,0,2,2,2,2,1,1,NA,57200,55,0,0,6.7,28,53,con,con,0.158076475,0.0835121,6.326051995,1.844676344,40.01893384,11.00043178,10.96647266,#NAME?,2.397895273,0,0,4.276666119,4.564348191,0,1.902107526,30/06/1993,16.23333333,2.787066741,2,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,21/07/1992,30/06/1993,08/09/1993,344,0,344,0,10,2.302585093,1,1.911111111,180,1,0,344,0,657.4222222,118336,0.034542314,-2.005876525,1.034542314
13,758077,199500,199500,195000,E20,R,3159,91,9250,7,3,3,3,0,0,29,2,NA,1,1,1,0,2,8,4,2.5,228,121,176,273,0,0,209,121,144,180,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,1,1,0,1,2,1,1,1,1,NA,122500,0,1,0,7.2,NA,NA,house,house,NA,NA,NA,NA,NA,12.20356952,12.18075484,9.132378831,3.36729583,1.386294361,0.916290732,4.795790546,5.170483995,0.693147181,1.974081026,25/08/1992,5.933333333,1.780586169,other,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,08/08/1992,27/02/1993,23/10/1992,203,186,17,0.916256158,0.005373455,-5.226284164,0.083743842,1.127777778,15.07389163,1,0,17,0,19.17222222,3451,0.023076923,-2.094945728,1.023076923
14,761216,159900,159900,157000,E19,R,2457,91,13195,2,1,1,5,NA,NA,30,2,NA,7,1,1,0,2,9,4,2.5,338,132,132,0,99,0,210,120,110,112,0,2,1,0,0,0,0,0,1,0,0,NA,0,0,1,1,0,1,2,1,1,1,1,NA,97200,0,0,0,7.5,8,99,house,house,0.295274925,0.0238606,3.3866743,1.219848407,11.46956282,11.9823039,11.96400108,9.487593249,3.401197382,1.386294361,0.916290732,4.882801923,4.882801923,0.693147181,2.014903021,17/01/1993,10.76666667,2.376454942,2,ostyles,-0.1,-2.302585093,partbase,FALSE,FALSE,11/09/1992,11/03/1993,26/02/1993,181,53,128,0.29281768,0.018832392,-3.972176928,0.70718232,1.005555556,127.2928177,1,0,128,0,128.7111111,23168,0.018471338,-2.133084225,1.018471338
15,762625,179900,189900,172000,E20,NA,3438,91,12896,2,1,1,5,NA,NA,23,2,NA,1,1,1,1,2,8,4,2.5,247,132,204,294,0,0,240,180,144,156,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,1,NA,1,1,NA,133300,0,1,0,7.5,1,51,house,house,0.152111325,0.002982575,6.574132465,1.883142625,43.21921767,12.10015642,12.05524976,9.464672465,3.135494216,1.386294361,0.916290732,4.882801923,5.318119994,0.693147181,2.014903021,13/01/1993,10.63333333,2.363993721,2,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,28/09/1992,28/03/1993,25/02/1993,181,74,107,0.408839779,0.013495277,-4.305415532,0.591160221,1.005555556,106.4088398,1,0,107,0,107.5944444,19367,0.045930233,-1.924626631,1.045930233
16,762801,149921,179921,141000,E19,RH,2943,91,20305,NA,4,1,4,0,0,25,2,NA,7,1,1,0,2,9,4,2.5,234,156,143,378,0,0,143,110,143,110,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,2,1,1,1,1,100,114100,0,0,1,7,16,120,house,house,0.357909,0.0477212,2.794006298,1.027476515,7.806471192,11.91786377,11.85651517,9.91862244,3.218875825,1.386294361,0.916290732,5.049856007,4.96284463,0.693147181,1.945910149,01/12/1992,9.2,2.219203484,NA,ostyles,5,1.648658626,partbase,FALSE,FALSE,09/10/1992,02/05/1993,30/03/1993,205,152,53,0.741463415,0.006574622,-5.024538199,0.258536585,1.138888889,46.53658537,1,0,53,0,60.36111111,10865,0.063269504,-1.812353048,1.063269504
17,762900,169900,176800,164500,E19,R,2703,91,9375,3,3,3,1,2,0,21,2,NA,1,1,1,0,2,10,4,2.5,220,144,117,253,0,0,182,150,160,120,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,1,1,0,1,1,2,1,1,1,1,NA,104800,0,0,1,7.5,12,162,house,house,0.48317715,0.0357909,2.069634295,0.727371922,4.283386113,12.04296531,12.01066585,9.145801851,3.044522438,1.386294361,0.916290732,4.9698133,4.762173935,0.693147181,2.014903021,03/12/1992,9.266666667,2.226423732,3,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,10/10/1992,28/02/1993,28/01/1993,141,87,54,0.617021277,0.011481056,-4.467056884,0.382978723,0.783333333,68.93617021,0.783333333,0.216666667,42.3,11.7,42.3,7614,0.032826748,-2.018709649,1.032826748
18,763619,95900,97900,90000,E20,EP,2000,91,0,2,1,1,1,0,0,3,1,NA,6,1,0,0,1,4,2,2,255,80,72,0,0,0,192,126,0,0,0,2,1,1,1,1,NA,1,1,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,73600,120,0,0,7,9,20,con,con,0.0596515,0.026843175,16.76403779,2.819235984,281.0329629,11.47106126,11.40756495,#NAME?,1.098612289,0.693147181,0.693147181,4.382026635,4.276666119,0,1.945910149,08/02/1993,11.5,2.442347035,2,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,08/10/1992,30/04/1993,29/03/1993,204,81,123,0.397058824,0.012330456,-4.395682961,0.602941176,1.133333333,108.5294118,1,0,123,0,139.4,25092,0.065555556,-1.798448457,1.065555556
19,766024,209900,224900,195000,E20,PO,3546,91,15252,5,5,1,4,2,0,19,2,NA,1,1,1,0,2,8,4,2.5,260,144,204,273,0,0,240,144,156,208,0,1,1,0,0,NA,NA,1,0,0,0,NA,0,0,0,0,0,1,2,1,1,1,1,NA,137500,0,1,1,7.3,1,58,house,house,0.17298935,0.002982575,5.780702685,1.754525247,33.41652353,12.25438651,12.18075484,9.632465921,2.944438979,1.386294361,0.916290732,4.9698133,5.318119994,0.693147181,1.987874348,16/03/1993,12.7,2.541601993,other,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,29/10/1992,30/06/1993,27/05/1993,244,106,138,0.43442623,0.009425071,-4.664382046,0.56557377,1.355555556,101.8032787,1,0,138,0,187.0666667,33672,0.076410256,-1.734942994,1.076410256
20,766124,86900,93900,84500,E20,R,1890,91,0,2,2,1,8,2,0,6,1,1,6,1,0,0,0,6,3,2,286,72,90,0,0,0,165,132,108,0,0,2,1,1,0,0,2,1,1,0,0,0,1,0,0,1,0,2,2,2,2,1,1,NA,73300,68,1,0,7.3,7,12,con,con,0.0357909,0.020878025,27.94006298,3.330061608,780.6471192,11.37251331,11.34450681,#NAME?,1.791759469,1.098612289,0.693147181,4.276666119,4.49980967,0,1.987874348,05/04/1993,13.36666667,2.592764046,2,condos,9,2.219203484,fullbase,FALSE,TRUE,01/11/1992,28/05/1993,28/05/1993,208,53,155,0.254807692,0.018832392,-3.972176928,0.745192308,1.155555556,134.1346154,1,0,155,0,179.1111111,32240,0.028402367,-2.052586454,1.028402367
21,766462,149900,149900,145000,E20,R,2547,91,10000,3,2,1,4,0,0,21,1,NA,2,1,1,0,2,7,3,2,240,121,143,300,0,0,300,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,NA,100700,0,0,0,6.8,13,116,house,house,0.3459787,0.038773475,2.890351342,1.061378067,8.354130883,11.91772368,11.88448902,9.210340372,3.044522438,1.098612289,0.693147181,4.795790546,4.96284463,0,1.916922612,04/11/1992,8.3,2.116255515,3,ostyles,0,-1.609437912,partbase,FALSE,FALSE,02/11/1992,31/12/1993,13/11/1992,424,422,2,0.995283019,0.002369107,-6.045242253,0.004716981,2.355555556,0.849056604,1,0,2,0,4.711111111,848,0.033793103,-2.011460676,1.033793103
22,767345,189900,189900,180000,E20,PO,3100,91,10625,2,1,1,5,0,0,23,2,NA,1,1,1,0,2,9,5,2.5,264,156,234,270,0,0,240,130,110,144,195,2,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,NA,120200,0,1,0,7,10,67,house,house,0.199832525,0.02982575,5.004190384,1.610275638,25.0419214,12.1542529,12.10071213,9.270964994,3.135494216,1.609437912,0.916290732,5.049856007,5.455321115,0.693147181,1.945910149,16/02/1993,11.76666667,2.465270675,2,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,10/11/1992,15/03/1993,26/03/1993,125,27,98,0.216,0.036900369,-3.299533728,0.784,0.694444444,141.12,0.694444444,0.305555556,68.05555556,29.94444444,68.05555556,12250,0.055,-1.864330162,1.055
23,771663,207500,219900,195000,E20,HOG,3800,93,10875,3,3,3,1,1,0,3,2,NA,1,1,1,0,2,10,4,2.5,221,154,NA,285,0,0,420,208,168,168,0,2,1,0,0,0,2,0,0,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,142100,0,0,0,7.3,15,113,house,house,0.337030975,0.044738625,2.967086334,1.087580439,8.803601312,12.24288662,12.18075484,9.294221856,1.098612289,1.386294361,0.916290732,5.036952602,NA,0.693147181,1.987874348,22/03/1993,12.9,2.557227311,3,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,03/01/1993,03/06/1993,15/07/1993,151,73,78,0.483443709,0.013679891,-4.291828367,0.516556291,0.838888889,92.98013245,0.838888889,0.161111111,65.43333333,12.56666667,65.43333333,11778,0.064102564,-1.807263656,1.064102564
24,773614,159900,162900,156300,E20,R,2398,91,9375,2,2,1,8,0,0,28,2,2,1,1,1,0,1,8,4,2.5,242,132,234,204,0,0,168,132,99,99,0,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,1,NA,93000,0,0,1,7.3,27,168,house,house,0.5010726,0.080529525,1.995718784,0.691004278,3.982893465,11.9823039,11.95953252,9.145801851,3.33220451,1.386294361,0.916290732,4.882801923,5.455321115,0.693147181,1.987874348,17/05/1993,14.76666667,2.692372388,2,colonial,6,1.824549292,partbase,FALSE,TRUE,18/01/1993,18/07/1993,30/07/1993,181,62,119,0.342541436,0.01610306,-4.128745989,0.657458564,1.005555556,118.3425414,1,0,119,0,119.6611111,21539,0.02303263,-2.095305678,1.02303263
25,775382,138500,144500,135500,E20,INF,2312,91,5520,3,3,1,6,2,0,11,2,NA,4,1,1,0,1,5,2,2.5,322,NA,120,322,0,0,294,168,0,0,0,2,1,0,0,0,NA,1,0,0,0,NA,0,0,0,0,0,2,2,2,2,1,1,150,91600,0,1,0,6.7,44,99,house,house,0.295274925,0.1312333,3.3866743,1.219848407,11.46956282,11.8386256,11.81672692,8.616133139,2.397895273,0.693147181,0.916290732,NA,4.787491743,0.693147181,1.902107526,14/04/1993,13.66666667,2.614959778,3,condos,-0.1,-2.302585093,partbase,FALSE,TRUE,27/01/1993,30/06/1993,15/06/1993,154,77,77,0.5,0.012970169,-4.345103281,0.5,0.855555556,90,0.855555556,0.144444444,65.87777778,11.12222222,65.87777778,11858,0.022140221,-2.102585538,1.022140221
